inAir9 ready!
inAir9 freq: 915.00
inAir Tx power: 
inAir9 LoRa mod10
Begining Tx...

740913 Tx, payload: Decir adios es crecer, tx time: 16496 us
742930 Tx, payload: Decir adios es crecer, tx time: 16480 us
744949 Tx, payload: Decir adios es crecer, tx time: 16496 us
746967 Tx, payload: Decir adios es crecer, tx time: 16480 us
748986 Tx, payload: Decir adios es crecer, tx time: 16496 us
751003 Tx, payload: Decir adios es crecer, tx time: 16480 us
753022 Tx, payload: Decir adios es crecer, tx time: 16496 us
755040 Tx, payload: Decir adios es crecer, tx time: 16480 us
757059 Tx, payload: Decir adios es crecer, tx time: 16488 us
759076 Tx, payload: Decir adios es crecer, tx time: 16480 us
761096 Tx, payload: Decir adios es crecer, tx time: 16488 us
763113 Tx, payload: Decir adios es crecer, tx time: 16480 us
765132 Tx, payload: Decir adios es crecer, tx time: 16488 us
767150 Tx, payload: Decir adios es crecer, tx time: 16480 us
769169 Tx, payload: Decir adios es crecer, tx time: 16496 us
771186 Tx, payload: Decir adios es crecer, tx time: 16480 us
773206 Tx, payload: Decir adios es crecer, tx time: 16496 us
775223 Tx, payload: Decir adios es crecer, tx time: 16480 us
777242 Tx, payload: Decir adios es crecer, tx time: 16496 us
779259 Tx, payload: Decir adios es crecer, tx time: 16480 us
781279 Tx, payload: Decir adios es crecer, tx time: 16496 us
783296 Tx, payload: Decir adios es crecer, tx time: 16480 us
785315 Tx, payload: Decir adios es crecer, tx time: 16496 us
787333 Tx, payload: Decir adios es crecer, tx time: 16480 us
789352 Tx, payload: Decir adios es crecer, tx time: 16488 us
791369 Tx, payload: Decir adios es crecer, tx time: 16480 us
793389 Tx, payload: Decir adios es crecer, tx time: 16488 us
795406 Tx, payload: Decir adios es crecer, tx time: 16480 us
797425 Tx, payload: Decir adios es crecer, tx time: 16488 us
799442 Tx, payload: Decir adios es crecer, tx time: 16480 us
801462 Tx, payload: Decir adios es crecer, tx time: 16496 us
803479 Tx, payload: Decir adios es crecer, tx time: 16480 us
805498 Tx, payload: Decir adios es crecer, tx time: 16496 us
807516 Tx, payload: Decir adios es crecer, tx time: 16480 us
809535 Tx, payload: Decir adios es crecer, tx time: 16496 us
811552 Tx, payload: Decir adios es crecer, tx time: 16480 us
813572 Tx, payload: Decir adios es crecer, tx time: 16488 us
815589 Tx, payload: Decir adios es crecer, tx time: 16480 us
817608 Tx, payload: Decir adios es crecer, tx time: 16496 us
819625 Tx, payload: Decir adios es crecer, tx time: 16480 us
821645 Tx, payload: Decir adios es crecer, tx time: 16488 us
823662 Tx, payload: Decir adios es crecer, tx time: 16472 us
825681 Tx, payload: Decir adios es crecer, tx time: 16488 us
827699 Tx, payload: Decir adios es crecer, tx time: 16472 us
829718 Tx, payload: Decir adios es crecer, tx time: 16488 us
831735 Tx, payload: Decir adios es crecer, tx time: 16480 us
833755 Tx, payload: Decir adios es crecer, tx time: 16488 us
835772 Tx, payload: Decir adios es crecer, tx time: 16472 us
837791 Tx, payload: Decir adios es crecer, tx time: 16496 us
839809 Tx, payload: Decir adios es crecer, tx time: 16480 us
841828 Tx, payload: Decir adios es crecer, tx time: 16496 us
843845 Tx, payload: Decir adios es crecer, tx time: 16472 us
845864 Tx, payload: Decir adios es crecer, tx time: 16488 us
847882 Tx, payload: Decir adios es crecer, tx time: 16472 us
849901 Tx, payload: Decir adios es crecer, tx time: 16496 us
851918 Tx, payload: Decir adios es crecer, tx time: 16472 us
853938 Tx, payload: Decir adios es crecer, tx time: 16496 us
855955 Tx, payload: Decir adios es crecer, tx time: 16480 us
857974 Tx, payload: Decir adios es crecer, tx time: 16496 us
859992 Tx, payload: Decir adios es crecer, tx time: 16480 us
862011 Tx, payload: Decir adios es crecer, tx time: 16496 us
864028 Tx, payload: Decir adios es crecer, tx time: 16480 us
866048 Tx, payload: Decir adios es crecer, tx time: 16488 us
868065 Tx, payload: Decir adios es crecer, tx time: 16480 us
870084 Tx, payload: Decir adios es crecer, tx time: 16496 us
872101 Tx, payload: Decir adios es crecer, tx time: 16472 us
874121 Tx, payload: Decir adios es crecer, tx time: 16496 us
876138 Tx, payload: Decir adios es crecer, tx time: 16480 us
878157 Tx, payload: Decir adios es crecer, tx time: 16496 us
880175 Tx, payload: Decir adios es crecer, tx time: 16472 us
882194 Tx, payload: Decir adios es crecer, tx time: 16496 us
884211 Tx, payload: Decir adios es crecer, tx time: 16472 us
886231 Tx, payload: Decir adios es crecer, tx time: 16488 us
888248 Tx, payload: Decir adios es crecer, tx time: 16480 us
890267 Tx, payload: Decir adios es crecer, tx time: 16496 us
892284 Tx, payload: Decir adios es crecer, tx time: 16480 us
894304 Tx, payload: Decir adios es crecer, tx time: 16488 us
896321 Tx, payload: Decir adios es crecer, tx time: 16480 us
898340 Tx, payload: Decir adios es crecer, tx time: 16496 us
900358 Tx, payload: Decir adios es crecer, tx time: 16480 us
902377 Tx, payload: Decir adios es crecer, tx time: 16488 us
904394 Tx, payload: Decir adios es crecer, tx time: 16472 us
906414 Tx, payload: Decir adios es crecer, tx time: 16496 us
908431 Tx, payload: Decir adios es crecer, tx time: 16480 us
910450 Tx, payload: Decir adios es crecer, tx time: 16496 us
912467 Tx, payload: Decir adios es crecer, tx time: 16480 us
914487 Tx, payload: Decir adios es crecer, tx time: 16496 us
916504 Tx, payload: Decir adios es crecer, tx time: 16480 us
918523 Tx, payload: Decir adios es crecer, tx time: 16488 us
